MF,Fraction,mz,Retention_time,Cell_9312_A,Cell_9312_B,Cell_9312_C,Cell_9313_A,Cell_9313_B,Cell_9313_C,Vesicle_9312_1,Vesicle_9312_2,Vesicle_9312_3,Vesicle_9313_2,Vesicle_9313_1,Vesicle_9313_3
7774_CyanoOrg,CyanoOrg,567.41986,14.384,NA,NA,3.69E-05,0.005913677,0.006719689,7.22E-04,NA,NA,NA,0.032280365,0.041775204,0.036207349
7775_CyanoOrg,CyanoOrg,567.41986,13.542,1.95E-04,1.69E-04,1.84E-04,7.80E-04,9.26E-04,3.53E-04,0.058244627,0.030140728,0.024789516,0.015830462,0.021639452,0.015129793
7776_CyanoOrg,CyanoOrg,567.41992,14.241,4.05E-04,3.42E-04,5.88E-04,0.001440409,0.001805909,5.59E-04,0.119688588,0.055403208,0.072657097,0.031799173,0.050687168,0.038393735
7777_CyanoOrg,CyanoOrg,567.42004,15.761,NA,NA,NA,1.55E-04,NA,NA,NA,NA,NA,0.005999574,0.00572114,0.003548981
7778_CyanoOrg,CyanoOrg,567.42017,15.189,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004321925,0.004969762,0.003041599
7779_CyanoOrg,CyanoOrg,567.42023,14.171,2.40E-04,1.24E-04,NA,5.96E-04,8.58E-04,2.06E-04,NA,NA,NA,0.00472003,0.005562408,0.004457176
7780_CyanoOrg,CyanoOrg,567.42041,12.974,NA,NA,NA,NA,NA,NA,0.008526039,NA,NA,0.00611234,0.006852996,0.005158596
7781_CyanoOrg,CyanoOrg,567.42041,14.29,9.78E-04,7.69E-04,6.14E-04,0.001534964,0.002997787,5.45E-04,NA,NA,NA,0.044657445,0.062428118,0.045867095
7782_CyanoOrg,CyanoOrg,567.42572,12.014,NA,2.90E-05,1.65E-05,1.33E-04,1.02E-04,1.89E-05,0.019518039,0.007340284,NA,0.006243672,0.002070936,0.002840153
7783_CyanoOrg,CyanoOrg,567.42584,11.386,NA,NA,NA,8.39E-05,NA,NA,0.007457882,NA,NA,0.00140502,5.96E-04,4.71E-04
7784_CyanoOrg,CyanoOrg,567.42596,11.941,2.42E-05,2.97E-05,2.90E-05,4.13E-04,1.83E-04,4.76E-05,0.033452392,0.012968976,0.00634129,0.006986299,0.002321168,0.003320102
7788_CyanoOrg,CyanoOrg,567.49841,11.824,0.002876854,0.002465326,0.002285718,0.019071923,0.027146507,0.002312246,0.437512,0.130461348,0.161920484,0.207114477,0.151086656,0.110881123
7789_CyanoOrg,CyanoOrg,567.49854,13.526,3.33E-04,3.32E-04,5.64E-04,5.26E-04,7.34E-04,2.37E-05,0.14837251,0.037223747,0.076527231,0.048469553,0.047260772,0.02315884
7795_CyanoOrg,CyanoOrg,568.42651,14.24,0.00289443,0.001896085,0.002303852,0.005503765,0.006631882,0.001757949,NA,NA,NA,NA,NA,NA
7796_CyanoOrg,CyanoOrg,568.42743,16.085,NA,NA,NA,NA,NA,NA,NA,NA,0.048948728,0.002964152,0.001497275,0.001766398
7797_CyanoOrg,CyanoOrg,568.42743,14.288,0.005787886,0.005679573,0.004672263,0.009651195,0.016735039,0.001401604,NA,NA,NA,NA,NA,NA
7798_CyanoOrg,CyanoOrg,568.42773,15.133,NA,NA,NA,5.75E-04,NA,NA,NA,NA,NA,NA,NA,NA
